asset_id,url,saved_path
abandoned_factory_canteen_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_factory_canteen_01_1k.hdr,data\raw_hdr\abandoned_factory_canteen_01.hdr
abandoned_factory_canteen_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_factory_canteen_02_1k.hdr,data\raw_hdr\abandoned_factory_canteen_02.hdr
abandoned_games_room_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_games_room_01_1k.hdr,data\raw_hdr\abandoned_games_room_01.hdr
abandoned_games_room_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_games_room_02_1k.hdr,data\raw_hdr\abandoned_games_room_02.hdr
abandoned_garage,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_garage_1k.hdr,data\raw_hdr\abandoned_garage.hdr
abandoned_greenhouse,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_greenhouse_1k.hdr,data\raw_hdr\abandoned_greenhouse.hdr
abandoned_hall_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_hall_01_1k.hdr,data\raw_hdr\abandoned_hall_01.hdr
abandoned_hopper_terminal_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_hopper_terminal_01_1k.hdr,data\raw_hdr\abandoned_hopper_terminal_01.hdr
abandoned_hopper_terminal_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_hopper_terminal_02_1k.hdr,data\raw_hdr\abandoned_hopper_terminal_02.hdr
abandoned_hopper_terminal_03,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_hopper_terminal_03_1k.hdr,data\raw_hdr\abandoned_hopper_terminal_03.hdr
abandoned_hopper_terminal_04,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_hopper_terminal_04_1k.hdr,data\raw_hdr\abandoned_hopper_terminal_04.hdr
abandoned_parking,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_parking_1k.hdr,data\raw_hdr\abandoned_parking.hdr
abandoned_pathway,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_pathway_1k.hdr,data\raw_hdr\abandoned_pathway.hdr
abandoned_slipway,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_slipway_1k.hdr,data\raw_hdr\abandoned_slipway.hdr
abandoned_tank_farm_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_tank_farm_01_1k.hdr,data\raw_hdr\abandoned_tank_farm_01.hdr
abandoned_tank_farm_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_tank_farm_02_1k.hdr,data\raw_hdr\abandoned_tank_farm_02.hdr
abandoned_tank_farm_03,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_tank_farm_03_1k.hdr,data\raw_hdr\abandoned_tank_farm_03.hdr
abandoned_tank_farm_04,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_tank_farm_04_1k.hdr,data\raw_hdr\abandoned_tank_farm_04.hdr
abandoned_tank_farm_05,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_tank_farm_05_1k.hdr,data\raw_hdr\abandoned_tank_farm_05.hdr
abandoned_tiled_room,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_tiled_room_1k.hdr,data\raw_hdr\abandoned_tiled_room.hdr
abandoned_waterworks,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_waterworks_1k.hdr,data\raw_hdr\abandoned_waterworks.hdr
abandoned_workshop,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_workshop_1k.hdr,data\raw_hdr\abandoned_workshop.hdr
abandoned_workshop_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/abandoned_workshop_02_1k.hdr,data\raw_hdr\abandoned_workshop_02.hdr
acoustical_shell,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/acoustical_shell_1k.hdr,data\raw_hdr\acoustical_shell.hdr
adams_place_bridge,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/adams_place_bridge_1k.hdr,data\raw_hdr\adams_place_bridge.hdr
aerodynamics_workshop,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/aerodynamics_workshop_1k.hdr,data\raw_hdr\aerodynamics_workshop.hdr
afrikaans_church_exterior,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/afrikaans_church_exterior_1k.hdr,data\raw_hdr\afrikaans_church_exterior.hdr
afrikaans_church_interior,https://dl.polyhaven.org/file/ph-assets/HDRIs/hdr/1k/afrikaans_church_interior_1k.hdr,data\raw_hdr\afrikaans_church_interior.hdr
